seat_number,seat_name,winner_name,winner_party,winner_votes,runner_name,runner_party,runner_votes
85,Jashore 1,Muhammad Azizur Rahman.,Bangladesh Jamaat-e-Islami (Jamaat),119093,Md Nuruzzaman Liton,Bangladesh Nationalist Party (BNP),93542
86,Jashore 2,Mohammad Moslehuddin Farid,Bangladesh Jamaat-e-Islami (Jamaat),180965,Deleted: Sabira Sultana,Bangladesh Nationalist Party (BNP),146447
87,Jashore 3,Anindya Islam Amit,Bangladesh Nationalist Party (BNP),201339,Md. Abdul Quader,Bangladesh Jamaat-e-Islami (Jamaat),187463
88,Jashore 4,Md. Gholam Rashul,Bangladesh Jamaat-e-Islami (Jamaat),176912,মতিয়ার রহমান ফারাজী,Bangladesh Nationalist Party (BNP),131917
89,Jashore 5,Gazi Enamul Haque,Bangladesh Jamaat-e-Islami (Jamaat),132876,Shahid Md. Iqbal Hossain,Independent Candidate (Independent),85045
90,Jashore 6,Md. Mokhtar Ali,Bangladesh Jamaat-e-Islami (Jamaat),92234,Md. Abul Hossain Azad,Bangladesh Nationalist Party (BNP),80141
91,Magura 1,Md. Monowar Hossain,Bangladesh Nationalist Party (BNP),185338,Abdul Mateen,Bangladesh Jamaat-e-Islami (Jamaat),89691
92,Magura 2,Nitai Roy Chowdhury,Bangladesh Nationalist Party (BNP),147896,Md. Mushtarshed Billah,Bangladesh Jamaat-e-Islami (Jamaat),117018
93,Narail 1,Biswas Jahangir Alam,Bangladesh Nationalist Party (BNP),99975,Md. Obaidullah,Bangladesh Jamaat-e-Islami (Jamaat),75225
94,Narail 2,Md. Ataur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),118142,Md. Monirul Islam,Independent Candidate (Independent),78457
95,Bagerhat 1,Md. Moshiur Rahman Khan,Bangladesh Jamaat-e-Islami (Jamaat),117527,Kapil Krishna Mandal,Bangladesh Nationalist Party (BNP),114323
96,Bagerhat 2,Sheikh Manjurul Haque (Rahad),Bangladesh Jamaat-e-Islami (Jamaat),117709,Sheikh Mohammad Zakir Hossain,Bangladesh Nationalist Party (BNP),66409
97,Bagerhat 3,Sheikh Faridul Islam,Bangladesh Nationalist Party (BNP),102661,Mohammad Abdul Wadud Sheikh,Bangladesh Jamaat-e-Islami (Jamaat),83550
98,Bagerhat 4,Md. Abdul Alim,Bangladesh Jamaat-e-Islami (Jamaat),116067,Som Nath De,Bangladesh Nationalist Party (BNP),98326
99,Khulna 1,Ameer Ejaz Khan,Bangladesh Nationalist Party (BNP),121352,Krishna Nandi,Bangladesh Jamaat-e-Islami (Jamaat),70346
100,Khulna 2,Sheikh Jahangir Hussain Helal,Bangladesh Jamaat-e-Islami (Jamaat),93789,Nazrul Islam Manju,Bangladesh Nationalist Party (BNP),88197
101,Khulna 3,Rakibul Islam,Bangladesh Nationalist Party (BNP),74845,Mohammad Mahfuzur Rahman,Bangladesh Jamaat-e-Islami (Jamaat),66010
102,Khulna 4,SK Azizul Bari,Bangladesh Nationalist Party (BNP),123162,SM Sakhawat Hossain,Khelafat Majlis,109530
103,Khulna 5,Mohammad Ali Asghar,Bangladesh Nationalist Party (BNP),148854,Mia Golam Parwar,Bangladesh Jamaat-e-Islami (Jamaat),146246
104,Khulna 6,Md. Abul Kalam Azad,Bangladesh Jamaat-e-Islami (Jamaat),150724,SM Monirul Hasan (Bappi),Bangladesh Nationalist Party (BNP),124710
105,Satkhira 1,Md. Izzatullah,Bangladesh Jamaat-e-Islami (Jamaat),193772,Md. Habibul Islam Habib,Bangladesh Nationalist Party (BNP),169995
106,Satkhira 2,Muhammad Abdul Khaliq,Bangladesh Jamaat-e-Islami (Jamaat),266959,Md Abdur Rauf,Bangladesh Nationalist Party (BNP),116293
