seat_name,division,district,party,candidate,votes
Mymensingh 2,Mymensingh,Mymensingh,Bangladesh Khelafat Majlish (BKM),Muhammadullah,146202.0
Mymensingh 2,Mymensingh,Mymensingh,Independent Candidate (Independent),Shah Shahid Sarwar,-
Mymensingh 3,Mymensingh,Mymensingh,Socialist Party of Bangladesh (Marxist) (SPB-M),A. K. M. Ariful Hasan,-
Mymensingh 3,Mymensingh,Mymensingh,Independent Candidate (Independent),Ahmed Tayebur Rahman,65995.0
Mymensingh 3,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),M Iqbal Hossain,75320.0
Mymensingh 3,Mymensingh,Mymensingh,Bangladesh Nezame Islam Party (BNIP),Md. Abu Taher Khan,-
Mymensingh 3,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Md. Shariful Islam,-
Mymensingh 4,Mymensingh,Mymensingh,Jatiya Party (JaPa),Abu Md. Musa Sarkar,-
Mymensingh 4,Mymensingh,Mymensingh,Communist Party of Bangladesh (CPB),Emdadul Haque Millat,-
Mymensingh 4,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),Md. Abu Wahab Akand Wahid,179668.0
Mymensingh 4,Mymensingh,Mymensingh,Bangladesh Supreme Party (BSP),Md. Liaquat Ali,-
Mymensingh 4,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Md. Nasir Uddin,-
Mymensingh 4,Mymensingh,Mymensingh,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Kamrul Ahsan,171880.0
Mymensingh 4,Mymensingh,Mymensingh,Ganosanhati Andolan (GSA),Mostafizur Rahman,-
Mymensingh 4,Mymensingh,Mymensingh,Socialist Party of Bangladesh (Marxist) (SPB-M),Shekhar Kumar Roy,-
Mymensingh 5,Mymensingh,Mymensingh,Bangladesh Jamaat-e-Islami (Jamaat),Md. Matiur Rahman Akand,102226.0
Mymensingh 5,Mymensingh,Mymensingh,Amar Bangladesh Party (AB),Md. Rafiqul Islam,-
Mymensingh 5,Mymensingh,Mymensingh,Ganosanhati Andolan (GSA),Mohammad Nazrul Islam,-
Mymensingh 5,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),Mohammad Zakir Hossain,128896.0
Mymensingh 5,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Muhammad Sirajul Islam,-
Mymensingh 6,Mymensingh,Mymensingh,Independent Candidate (Independent),Akhtar Sultana,53331.0
Mymensingh 6,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),Md. Akhtarul Alam,-
Mymensingh 6,Mymensingh,Mymensingh,Bangladesh Jamaat-e-Islami (Jamaat),Md. Kamrul Hasan,77325.0
Mymensingh 6,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Md. Noor Alam Siddiqui,-
Mymensingh 6,Mymensingh,Mymensingh,Independent Candidate (Independent),Professor Md. Jasim Uddin,-
Mymensingh 7,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),Dr. Md. Mahabubur Rahman,99049.0
Mymensingh 7,Mymensingh,Mymensingh,Bangladesh Jamaat-e-Islami (Jamaat),Md. Asaduzzaman,84851.0
Mymensingh 7,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Md. Ibrahim Khalilullah,-
Mymensingh 7,Mymensingh,Mymensingh,Independent Candidate (Independent),Md. Joynal Abdin,-
Mymensingh 7,Mymensingh,Mymensingh,Jatiya Party (JaPa),Md. Zahirul Islam,-
Mymensingh 7,Mymensingh,Mymensingh,Independent Candidate (Independent),Muhammad Anwar Sadat,-
Mymensingh 8,Mymensingh,Mymensingh,Jatiya Party (JaPa),Fakhrul Imam,-
Mymensingh 8,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),Lutfullahel Majed,108685.0
Mymensingh 8,Mymensingh,Mymensingh,Bangladesh Liberal Democratic Party (LDP),Md. Aurangzeb Belal,46515.0
Mymensingh 8,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Shah Nurul Kabir,-
Mymensingh 9,Mymensingh,Mymensingh,Bangladesh Development Party (BDP),AKM Anwarul Islam,71168.0
Mymensingh 9,Mymensingh,Mymensingh,Independent Candidate (Independent),Hasina Khan Chowdhury,-
Mymensingh 9,Mymensingh,Mymensingh,Jatiya Party (JaPa),Hasmot Mahmud,-
Mymensingh 9,Mymensingh,Mymensingh,Gono Forum (GF),Md. Latiful Bari (Hamim),-
Mymensingh 9,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Md. Saidur Rahman,-
Mymensingh 9,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),Yaser Khan Chowdhury,85761.0
Mymensingh 10,Mymensingh,Mymensingh,Ganosanhati Andolan (GSA),A.K.M. Shamsul Alam,-
Mymensingh 10,Mymensingh,Mymensingh,Independent Candidate (Independent),Abu Bakr Siddiqur Rahman,67013.0
Mymensingh 10,Mymensingh,Mymensingh,Jatiya Party (JaPa),Md. Al Amin (Sohan),-
Mymensingh 10,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Md. Habibullah Belali,-
Mymensingh 10,Mymensingh,Mymensingh,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ismail,-
Mymensingh 10,Mymensingh,Mymensingh,Independent Candidate (Independent),Md. Matiur Rahman,-
Mymensingh 10,Mymensingh,Mymensingh,Communist Party of Bangladesh (CPB),Md. Saifus Salehin,-
Mymensingh 10,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),Mohammad Akhtaruzzaman,75585.0
Mymensingh 10,Mymensingh,Mymensingh,Bangladesh Liberal Democratic Party (LDP),Syed Mahmud Morshed,-
Mymensingh 11,Mymensingh,Mymensingh,Bangladesh Nationalist Party (BNP),Fakhr Uddin Ahmed,111230.0
Mymensingh 11,Mymensingh,Mymensingh,Islami Andolan Bangladesh (IAB),Md. Mustafa Kamal,-
Mymensingh 11,Mymensingh,Mymensingh,Gono Odhikar Parishad (GOP),Mohammad Anwarul Islam,-
Mymensingh 11,Mymensingh,Mymensingh,Independent Candidate (Independent),Muhammad Morshed Alam,66016.0
Mymensingh 11,Mymensingh,Mymensingh,National Citizen Party (NCP),Zahidul Islam,-
Naogaon 1,Rajshahi,Naogaon,Jatiya Party (JaPa),Md. Akbar Ali,-
Naogaon 1,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahbubul Alam,153816.0
Naogaon 1,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Md. Mostafizur Rahman,173864.0
Naogaon 1,Rajshahi,Naogaon,Independent Candidate (Independent),Md. Saleque Chowdhury,-
Naogaon 2,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Enamul Haque,141526.0
Naogaon 2,Rajshahi,Naogaon,Amar Bangladesh Party (AB),Md. Motibul Islam,-
Naogaon 2,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Md. Shamsuzzoha Khan,134533.0
Naogaon 3,Rajshahi,Naogaon,Bangladesh Nationalist Front (BNF),Abdullah Al Mamun Sykat,-
Naogaon 3,Rajshahi,Naogaon,Bangladesh Samajtantrik Dal (Basad),Kalipada Sarker,-
Naogaon 3,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Md. Fazle Huda,166889.0
Naogaon 3,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahfuzur Rahman,119421.0
Naogaon 3,Rajshahi,Naogaon,Jatiya Party (JaPa),Md. Masud Rana,-
Naogaon 3,Rajshahi,Naogaon,Independent Candidate (Independent),Md. Saddam Hossain,-
Naogaon 3,Rajshahi,Naogaon,Islami Andolan Bangladesh (IAB),Nasir bin Asghar,-
Naogaon 3,Rajshahi,Naogaon,Independent Candidate (Independent),Parvez Arefin Siddiqui,-
Naogaon 4,Rajshahi,Naogaon,Communist Party of Bangladesh (CPB),Dr. S. M. Fazlur Rahman,-
Naogaon 4,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Ekramul Bari Tipu,133924.0
Naogaon 4,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdur Rakib,97585.0
Naogaon 4,Rajshahi,Naogaon,Jatiya Party (JaPa),Md. Altaf Hossain,-
Naogaon 4,Rajshahi,Naogaon,Independent Candidate (Independent),Mst. Arfana Begum,-
Naogaon 4,Rajshahi,Naogaon,Islami Andolan Bangladesh (IAB),Sohrab Hossain,-
Naogaon 5,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Abu Sadat Md. Sayem,104747.0
Naogaon 5,Rajshahi,Naogaon,Islami Andolan Bangladesh (IAB),Md. Abdur Rahman,-
Naogaon 5,Rajshahi,Naogaon,Jatiya Party (JaPa),Md. Anwar Hossain,-
Naogaon 5,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Md. Zahidul Islam Dhulu,129358.0
Naogaon 5,Rajshahi,Naogaon,Communist Party of Bangladesh (CPB),Shafiqul Islam,-
Naogaon 6,Rajshahi,Naogaon,Independent Candidate (Independent),Alamgir Kabir,-
Naogaon 6,Rajshahi,Naogaon,Revolutionary Workers Party of Bangladesh (RWPB),Atiqur Rahman Ratan Mollah,-
Naogaon 6,Rajshahi,Naogaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Khabirul Islam,97629.0
Naogaon 6,Rajshahi,Naogaon,Islami Andolan Bangladesh (IAB),Md. Rafiqul Islam,-
Naogaon 6,Rajshahi,Naogaon,Bangladesh Nationalist Party (BNP),Sheikh Md. Rezaul Islam,108866.0
Narail 1,Khulna,Narail,Islami Andolan Bangladesh (IAB),Abdul Aziz,-
Narail 1,Khulna,Narail,Independent Candidate (Independent),B.M. Nagib Hossain,-
Narail 1,Khulna,Narail,Bangladesh Nationalist Party (BNP),Biswas Jahangir Alam,99975.0
Narail 1,Khulna,Narail,Jatiya Party (JaPa),Md. Milton Mollah,-
Narail 1,Khulna,Narail,Bangladesh Jamaat-e-Islami (Jamaat),Md. Obaidullah,75225.0
Narail 1,Khulna,Narail,Independent Candidate (Independent),Md. Ujjal Mollah,-
Narail 1,Khulna,Narail,Independent Candidate (Independent),SM Sajjad Hossain,-
Narail 1,Khulna,Narail,Independent Candidate (Independent),Sukesh Saha Anand,-
Narail 2,Khulna,Narail,Bangladesh Nationalist Party (BNP),A. Z. M. Fariduzzaman,-
Narail 2,Khulna,Narail,Bangladesh Jamaat-e-Islami (Jamaat),Ataur Rahman,118142.0
Narail 2,Khulna,Narail,Jatiya Party (JaPa),Khandaker Fayequzzaman,-
Narail 2,Khulna,Narail,Independent Candidate (Independent),Md. Monirul Islam,78457.0
Narail 2,Khulna,Narail,Gono Odhikar Parishad (GOP),Md. Noor Islam,-
Narail 2,Khulna,Narail,Bangladesh Sangskritik Muktijote (BSM),Md. Shoaib Ali,-
Narail 2,Khulna,Narail,Islami Andolan Bangladesh (IAB),Md. Tajul Islam,-
Narail 2,Khulna,Narail,Independent Candidate (Independent),Ms. Farida Yasmin,-
Narayanganj 1,Dhaka,Narayanganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anwar Hossain Mollah,91690.0
Narayanganj 1,Dhaka,Narayanganj,Islami Andolan Bangladesh (IAB),Md. Imdadullah,-
Narayanganj 1,Dhaka,Narayanganj,Communist Party of Bangladesh (CPB),Md. Moniruzzaman Chandan,-
Narayanganj 1,Dhaka,Narayanganj,Insaniyat Biplob Bangladesh (IBB),Md. Rehan Afzal,-
Narayanganj 1,Dhaka,Narayanganj,Independent Candidate (Independent),Mohammad Dulal,-
Narayanganj 1,Dhaka,Narayanganj,Bangladesh Nationalist Party (BNP),Mostafizur Rahman Bhuiyan,158358.0
Narayanganj 1,Dhaka,Narayanganj,Gono Odhikar Parishad (GOP),Wasim Uddin,-
Narayanganj 2,Dhaka,Narayanganj,Islami Andolan Bangladesh (IAB),Maulana Md. Habibullah,-
Narayanganj 2,Dhaka,Narayanganj,Bangladesh Republican Party (BRP),Md. Abu Hanif Hridoy,-
Narayanganj 2,Dhaka,Narayanganj,Independent Candidate (Independent),Md. Ataur Rahman Khan,-
Narayanganj 2,Dhaka,Narayanganj,Communist Party of Bangladesh (CPB),Md. Hafizul Islam,-
Narayanganj 2,Dhaka,Narayanganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ilias Mollah,81054.0
Narayanganj 2,Dhaka,Narayanganj,Gono Odhikar Parishad (GOP),Md. Kamrul Mia,-
Narayanganj 2,Dhaka,Narayanganj,Bangladesh Nationalist Party (BNP),Nazrul Islam Azad,124291.0
Narayanganj 3,Dhaka,Narayanganj,Janotar Dol,Abdul Karim Munshi,-
Narayanganj 3,Dhaka,Narayanganj,Ganosanhati Andolan (GSA),Anjan Das,-
Narayanganj 3,Dhaka,Narayanganj,Amar Bangladesh Party (AB),Ariful Islam,-
Narayanganj 3,Dhaka,Narayanganj,Bangladesh Nationalist Party (BNP),Azharul Islam Mannan,155400.0
Narayanganj 3,Dhaka,Narayanganj,Islami Andolan Bangladesh (IAB),Golam Moshi,-
Narayanganj 3,Dhaka,Narayanganj,Bangladesh Khelafat Andolon (BKA),Md. Atiqur Rahman Nannu Munshi,-
Narayanganj 3,Dhaka,Narayanganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Iqbal Hossain Bhuiyan,134918.0
Narayanganj 3,Dhaka,Narayanganj,Bangladesh Khelafat Majlish (BKM),Md. Shahjahan,-
Narayanganj 3,Dhaka,Narayanganj,Gono Odhikar Parishad (GOP),Md. Wahidur Rahman Milky,-
Narayanganj 3,Dhaka,Narayanganj,Independent Candidate (Independent),Muhammad Ghiyas Uddin,-
Narayanganj 3,Dhaka,Narayanganj,Independent Candidate (Independent),Professor Md. Rezaul Karim,-
Narayanganj 4,Dhaka,Narayanganj,National Citizen Party (NCP),Abdullah Al Amin,106171.0
Narayanganj 4,Dhaka,Narayanganj,Bangladesh Khelafat Majlish (BKM),Anwar Hossain,-
Narayanganj 4,Dhaka,Narayanganj,Communist Party of Bangladesh (CPB),Iqbal Hossain,-
Narayanganj 4,Dhaka,Narayanganj,Gono Odhikar Parishad (GOP),Md. Arif Bhuiyan,-
Narayanganj 4,Dhaka,Narayanganj,Islami Andolan Bangladesh (IAB),Md. Ismail Hossain Kausar,-
Narayanganj 4,Dhaka,Narayanganj,Jatiya Party (JaPa),Md. Salauddin Khoka,-
Narayanganj 4,Dhaka,Narayanganj,Bangladesh Supreme Party (BSP),Md. Salim Ahmed,-
Narayanganj 4,Dhaka,Narayanganj,Independent Candidate (Independent),Md. Shah Alam,-
Narayanganj 4,Dhaka,Narayanganj,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Sulaiman Dewan,-
Narayanganj 4,Dhaka,Narayanganj,Jamiat Ulema-e-Islam Bangladesh (JUIB),Monir Hossain,80619.0
Narayanganj 4,Dhaka,Narayanganj,Bangladesh Republican Party (BRP),Muhammad Ali,-
Narayanganj 4,Dhaka,Narayanganj,Independent Candidate (Independent),Muhammad Ghiyas Uddin,-
Narayanganj 4,Dhaka,Narayanganj,Bangladesh Samajtantrik Dal (Basad),Salim Mahmud,-
Narayanganj 5,Dhaka,Narayanganj,Khelafat Majlis,ABM Sirajul Mamun,101196.0
Narayanganj 5,Dhaka,Narayanganj,Bangladesh Samajtantrik Dal (Basad),Abu Naeem Khan Biplob,-
Narayanganj 5,Dhaka,Narayanganj,Bangladesh Nationalist Party (BNP),Abul Kalam,114799.0
Narayanganj 5,Dhaka,Narayanganj,Bangladesh Sangskritik Muktijote (BSM),H.M. Amjad Hossain Mollah,-
Narayanganj 5,Dhaka,Narayanganj,Islami Andolan Bangladesh (IAB),Mao Md. Masum Billah,-
Narayanganj 5,Dhaka,Narayanganj,Independent Candidate (Independent),Md. Maksud Hossain,-
Narayanganj 5,Dhaka,Narayanganj,Gono Odhikar Parishad (GOP),Md. Nahid Hossain,-
Narayanganj 5,Dhaka,Narayanganj,Communist Party of Bangladesh (CPB),Montu Chandra Ghosh,-
Narayanganj 5,Dhaka,Narayanganj,Islamic Front Bangladesh (IFB),Syed Bahadur Shah Mujaddidi,-
Narayanganj 5,Dhaka,Narayanganj,Ganosanhati Andolan (GSA),Tariqul Islam,-
Narsingdi 1,Dhaka,Narsingdi,Insaniyat Biplob Bangladesh (IBB),Hamidul Haque Parvez,-
Narsingdi 1,Dhaka,Narsingdi,Bangladesh Nationalist Party (BNP),Khairul Kabir Khokon,161405.0
Narsingdi 1,Dhaka,Narsingdi,Islami Andolan Bangladesh (IAB),Md. Ashraf Hossain Bhuiyan,-
Narsingdi 1,Dhaka,Narsingdi,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ibrahim Bhuiyan,95349.0
Narsingdi 1,Dhaka,Narsingdi,Jatiya Party (JaPa),Mohammad Mustafa Zaman,-
Narsingdi 1,Dhaka,Narsingdi,Bangladesh Islami Front (BIF),Sakhawat Hossain,-
Narsingdi 1,Dhaka,Narsingdi,Gono Forum (GF),Shahiduzzaman Chowdhury,-
Narsingdi 1,Dhaka,Narsingdi,Gono Odhikar Parishad (GOP),Shirin Akhter,-
Narsingdi 2,Dhaka,Narsingdi,Jatiya Party (JaPa),A. N. M. Rafiqul Alam Selim,-
Narsingdi 2,Dhaka,Narsingdi,Islamic Front Bangladesh (IFB),Asif Iqbal,-
Narsingdi 2,Dhaka,Narsingdi,Bangladesh Nationalist Party (BNP),Dr. Abdul Moin Khan,92739.0
Narsingdi 2,Dhaka,Narsingdi,Bangladesh Jamaat-e-Islami (Jamaat),Md. Amjad Hossain,55920.0
Narsingdi 2,Dhaka,Narsingdi,National Citizen Party (NCP),Md. Golam Sarwar,-
Narsingdi 2,Dhaka,Narsingdi,Insaniyat Biplob Bangladesh (IBB),Muhammad Ibrahim,-
Narsingdi 3,Dhaka,Narsingdi,Jatiya Party (JaPa),AKM Rezaul Karim,-
Narsingdi 3,Dhaka,Narsingdi,Zaker Party (ZP),Abu Sadat Mohammad Sayem Ali Pathan,-
Narsingdi 3,Dhaka,Narsingdi,Bangladesh Nationalist Party (BNP),Manzoor Elahi,82061.0
Narsingdi 3,Dhaka,Narsingdi,Independent Candidate (Independent),Md. Ariful Islam Mridha,45682.0
Narsingdi 3,Dhaka,Narsingdi,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mostafizur Rahman,-
Narsingdi 3,Dhaka,Narsingdi,Bangladesh Khelafat Majlish (BKM),Md. Rakibul Islam Rakib,-
Narsingdi 3,Dhaka,Narsingdi,Islami Andolan Bangladesh (IAB),Md. Warez Hossain Bhuiyan,-
Narsingdi 3,Dhaka,Narsingdi,Insaniyat Biplob Bangladesh (IBB),Raihan Mia,-
Narsingdi 4,Dhaka,Narsingdi,Janotar Dol,Abu Darda Md. Maaz,-
Narsingdi 4,Dhaka,Narsingdi,Communist Party of Bangladesh (CPB),Kazi Sajjad Zahir,-
Narsingdi 4,Dhaka,Narsingdi,Bangladesh Congress,Kazi Shariful Islam,-
Narsingdi 4,Dhaka,Narsingdi,Bangladesh Jamaat-e-Islami (Jamaat),Md. Jahangir Alam,78744.0
Narsingdi 4,Dhaka,Narsingdi,Jatiya Party (JaPa),Md. Kamal Uddin,-
Narsingdi 4,Dhaka,Narsingdi,Islami Andolan Bangladesh (IAB),Md. Saifullah,-
Narsingdi 4,Dhaka,Narsingdi,Bangladesh Khelafat Majlish (BKM),Mohammad Nasir Uddin,-
Narsingdi 4,Dhaka,Narsingdi,Insaniyat Biplob Bangladesh (IBB),Muhammad Milan Mia,-
Narsingdi 4,Dhaka,Narsingdi,Bangladesh Nationalist Party (BNP),Sardar Md. Sakhawat Hossain,163392.0
Narsingdi 5,Dhaka,Narsingdi,Islami Andolan Bangladesh (IAB),Badruzzaman Ujjal,-
Narsingdi 5,Dhaka,Narsingdi,Bangladesh Islami Front (BIF),Mashiur Rahman,-
Narsingdi 5,Dhaka,Narsingdi,Bangladesh Nationalist Party (BNP),Md. Ashraf Uddin,137690.0
Narsingdi 5,Dhaka,Narsingdi,Independent Candidate (Independent),Md. Jamal Ahmed Chowdhury,-
Narsingdi 5,Dhaka,Narsingdi,Independent Candidate (Independent),Md. Solaiman Khandaker,-
Narsingdi 5,Dhaka,Narsingdi,Jatiya Party (JaPa),Mehrun Nesa Khan Hena,-
Narsingdi 5,Dhaka,Narsingdi,Independent Candidate (Independent),Muhammad Panir Hossain,-
Narsingdi 5,Dhaka,Narsingdi,Insaniyat Biplob Bangladesh (IBB),Tahmina Akhter,-
Narsingdi 5,Dhaka,Narsingdi,Bangladesh Khelafat Majlish (BKM),Tajul Islam,44981.0
Narsingdi 5,Dhaka,Narsingdi,Independent Candidate (Independent),Taufiqur Rahman,-
Natore 1,Rajshahi,Natore,Bangladesh Nationalist Party (BNP),Farzana Sharmin,102726.0
Natore 1,Rajshahi,Natore,Islami Andolan Bangladesh (IAB),Md. Abdullahil Baki,-
Natore 1,Rajshahi,Natore,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abul Kalam Azad,90568.0
Natore 1,Rajshahi,Natore,Revolutionary Workers Party of Bangladesh (RWPB),Md. Ansar Ali,-
Natore 1,Rajshahi,Natore,Gono Odhikar Parishad (GOP),Md. Mehedi Hasan,-
Natore 1,Rajshahi,Natore,Independent Candidate (Independent),Md. Moazzem Hossain,-
Natore 1,Rajshahi,Natore,Ganosanhati Andolan (GSA),Md. Sentu Ali,-
Natore 1,Rajshahi,Natore,Independent Candidate (Independent),Md. Taiful Islam Tipu,73173.0
Natore 1,Rajshahi,Natore,Independent Candidate (Independent),Mohammad Yasir Arshad,-
Natore 2,Rajshahi,Natore,Independent Candidate (Independent),Dr. Md. Noorannabi Mridha,621.0
Natore 2,Rajshahi,Natore,Bangladesh Nationalist Party (BNP),M. Ruhul Quddus Talukder Dulu,162841.0
Natore 2,Rajshahi,Natore,Jatiya Party (JaPa),Md. Kabir Uddin (Kamal),2587.0
Natore 2,Rajshahi,Natore,Bangladesh Jamaat-e-Islami (Jamaat),Md. Yunus Ali,130066.0
Natore 2,Rajshahi,Natore,Islami Andolan Bangladesh (IAB),Mohammad Ali Siddiqui,2757.0
Natore 2,Rajshahi,Natore,Ganosanhati Andolan (GSA),Tahamida Islam Tania,464.0
Natore 3,Rajshahi,Natore,Bangladesh Nationalist Party (BNP),Md. Anwarul Islam,119768.0
Natore 3,Rajshahi,Natore,Jatiya Party (JaPa),Md. Ashiq Iqbal,2119.0
Natore 3,Rajshahi,Natore,Independent Candidate (Independent),Md. Daudar Mahmud,66492.0
Natore 3,Rajshahi,Natore,Islami Andolan Bangladesh (IAB),Md. Khalilur Rahman,19105.0
Natore 3,Rajshahi,Natore,National Citizen Party (NCP),S. M. Zarzis Kadir,20707.0
Natore 4,Rajshahi,Natore,Jatiya Party (JaPa),M Yusuf Ahmed,2799.0
Natore 4,Rajshahi,Natore,Amar Bangladesh Party (AB),MD. MOKSEDUL MOMIN,259.0
Natore 4,Rajshahi,Natore,Bangladesh Nationalist Party (BNP),Md. Abdul Aziz,170551.0
Natore 4,Rajshahi,Natore,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Hakim,135386.0
Natore 4,Rajshahi,Natore,Islami Andolan Bangladesh (IAB),Md. Emdadullah,3845.0
Netrakona 1,Mymensingh,Netrakona,Bangladesh Nationalist Party (BNP),Barrister Kaiser Kamal,158343.0
Netrakona 1,Mymensingh,Netrakona,Bangladesh Khelafat Majlish (BKM),Ghulam Rabbani,87488.0
Netrakona 1,Mymensingh,Netrakona,Islami Andolan Bangladesh (IAB),Md. A. Mannan (Sohag),-
Netrakona 1,Mymensingh,Netrakona,Communist Party of Bangladesh (CPB),Md. Alkas Uddin Mir,-
Netrakona 1,Mymensingh,Netrakona,Jatiya Party (JaPa),Md. Anwar Hossain Khan,-
Netrakona 1,Mymensingh,Netrakona,Jatiya Samajtantrik Dal-JASAD,Md. Belal Hossain,-
Netrakona 2,Mymensingh,Netrakona,Jatiya Party (JaPa),A. B. M. Rafiqul Haque Talukder,-
Netrakona 2,Mymensingh,Netrakona,Islami Andolan Bangladesh (IAB),Abdul Qayyum,-
Netrakona 2,Mymensingh,Netrakona,Bangladesh Khelafat Andolon (BKA),Abdur Rahim,-
Netrakona 2,Mymensingh,Netrakona,Bangladesh Nationalist Party (BNP),Md. Anwarul Haque,171399.0
Netrakona 2,Mymensingh,Netrakona,National Citizen Party (NCP),Md. Fahim Rahman Khan Pathan,67367.0
Netrakona 3,Mymensingh,Netrakona,Jatiya Party (JaPa),Abul Hossain Talukder,-
Netrakona 3,Mymensingh,Netrakona,Independent Candidate (Independent),Md. Delwar Hossain Bhuiyan,68961.0
Netrakona 3,Mymensingh,Netrakona,Bangladesh Jamaat-e-Islami (Jamaat),Md. Khairul Kabir Niyogi,-
Netrakona 3,Mymensingh,Netrakona,Islamic Front Bangladesh (IFB),Md. Shamsuddoha,-
Netrakona 3,Mymensingh,Netrakona,Islami Andolan Bangladesh (IAB),Md. Zakir Hossain,-
Netrakona 3,Mymensingh,Netrakona,Bangladesh Nationalist Party (BNP),Rafiqul Islam Hilali,118469.0
Netrakona 4,Mymensingh,Netrakona,Revolutionary Workers Party of Bangladesh (RWPB),Champa Rani Sarker,-
Netrakona 4,Mymensingh,Netrakona,Communist Party of Bangladesh (CPB),Jolly Talukder,-
Netrakona 4,Mymensingh,Netrakona,Bangladesh Jamaat-e-Islami (Jamaat),Md. Al-Helal,39840.0
Netrakona 4,Mymensingh,Netrakona,Bangladesh Nationalist Party (BNP),Md. Lutfuzzaman Babar,160801.0
Netrakona 4,Mymensingh,Netrakona,Islami Andolan Bangladesh (IAB),Md. Mukhlesur Rahman,-
Netrakona 5,Mymensingh,Netrakona,Bangladesh Jamaat-e-Islami (Jamaat),Masum Mustafa,82177.0
Netrakona 5,Mymensingh,Netrakona,Islami Andolan Bangladesh (IAB),Md. Nurul Islam,-
Nilphamari 1,Rangpur,Nilphamari,Bangladesh National Awami Party–Bangladesh NAP (BNAP),Jebel Rahman Ghaani,-
Nilphamari 1,Rangpur,Nilphamari,Jamiat Ulema-e-Islam Bangladesh (JUIB),Maolana Md. Monjurul Islam,118160.0
Nilphamari 1,Rangpur,Nilphamari,Islami Andolan Bangladesh (IAB),Md. Abdul Jolil,-
Nilphamari 1,Rangpur,Nilphamari,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdus Sattar,149224.0
Nilphamari 1,Rangpur,Nilphamari,Jatiya Party (JaPa),Md. Mokhdum Azam Mushrafe,-
Nilphamari 1,Rangpur,Nilphamari,Socialist Party of Bangladesh (Marxist) (SPB-M),Md. Rafiqul Islam,-
Nilphamari 1,Rangpur,Nilphamari,Bangladesh Nationalist Front (BNF),Md. Sirajul Islam,-
Nilphamari 1,Rangpur,Nilphamari,Jatiya Party (JaPa),Md. Taslim Uddin,-
Nilphamari 2,Rangpur,Nilphamari,Bangladesh Jamaat-e-Islami (Jamaat),Al Faruq Abdul Latif,145202.0
Nilphamari 2,Rangpur,Nilphamari,Islami Andolan Bangladesh (IAB),Hasibul Islam,-
Nilphamari 2,Rangpur,Nilphamari,Independent Candidate (Independent),Md. Minhajul Islam Minhaj,-
Nilphamari 2,Rangpur,Nilphamari,Khelafat Majlis,Md. Sarwarul Alam,-
Nilphamari 2,Rangpur,Nilphamari,Bangladesh Nationalist Front (BNF),Md. Shirajul Islam,-
Nilphamari 2,Rangpur,Nilphamari,Bangladesh Nationalist Party (BNP),Shahrin Islam,134579.0
Nilphamari 3,Rangpur,Nilphamari,Bangladesh Nationalist Party (BNP),Alhaj Syed Ali,89102.0
Nilphamari 3,Rangpur,Nilphamari,Islami Andolan Bangladesh (IAB),Md. Amjad Hossain (Sarker),-
Nilphamari 3,Rangpur,Nilphamari,Bangladesh Jatiya Party (BJP),Md. Rohan Chowdhury,-
