seat_name,division,district,party,candidate,votes
Brahmanbaria 5,Chattogram,Brahmanbaria,Insaniyat Biplob Bangladesh (IBB),Mohammad Ashraful Haque,-
Brahmanbaria 5,Chattogram,Brahmanbaria,Jatiya Party (JaPa),Mohammad Kamrul Islam,-
Brahmanbaria 5,Chattogram,Brahmanbaria,Ganosanhati Andolan (GSA),Nahida Jahan,-
Brahmanbaria 5,Chattogram,Brahmanbaria,Islami Andolan Bangladesh (IAB),Nazrul Islam,-
Brahmanbaria 6,Chattogram,Brahmanbaria,Independent Candidate (Independent),Dr. Md. Saiduzzaman Kamal,-
Brahmanbaria 6,Chattogram,Brahmanbaria,Jatiya Samajtantrik Dal-JASAD,K. M. Jabir,-
Brahmanbaria 6,Chattogram,Brahmanbaria,Bangladesh Islami Front (BIF),Md. Abu Naser,2353.0
Brahmanbaria 6,Chattogram,Brahmanbaria,Insaniyat Biplob Bangladesh (IBB),Md. Habibur Rahman,-
Brahmanbaria 6,Chattogram,Brahmanbaria,Ganosanhati Andolan (GSA),Md. Jonayed Abdur Rahim Saki,95342.0
Brahmanbaria 6,Chattogram,Brahmanbaria,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mohsin,39976.0
Brahmanbaria 6,Chattogram,Brahmanbaria,National People's Party (NPP),Md. Shafiqul Islam,-
Brahmanbaria 6,Chattogram,Brahmanbaria,Independent Candidate (Independent),Mohammad Abu Kayes Sikder,-
Brahmanbaria 6,Chattogram,Brahmanbaria,Islami Andolan Bangladesh (IAB),Saeed Uddin Khan,-
Brahmanbaria 6,Chattogram,Brahmanbaria,Gono Odhikar Parishad (GOP),Shafiqul Islam,-
Chandpur 1,Chattogram,Chandpur,Bangladesh Nationalist Party (BNP),A N M Ehsanul Hoque Milon,133032.0
Chandpur 1,Chattogram,Chandpur,Bangladesh Jamaat-e-Islami (Jamaat),Abu Nasar Mohammad Makbol Ahmad,70368.0
Chandpur 1,Chattogram,Chandpur,Jatiya Party (JaPa),Habib Khan,-
Chandpur 1,Chattogram,Chandpur,Gono Odhikar Parishad (GOP),Md. Anayet Hossen,-
Chandpur 1,Chattogram,Chandpur,Gono Forum (GF),Mohammad Azad Hossain,-
Chandpur 1,Chattogram,Chandpur,Bangladesh Islami Front (BIF),Mohammed Nasir Uddin,-
Chandpur 2,Chattogram,Chandpur,Islami Andolan Bangladesh (IAB),Mansur,-
Chandpur 2,Chattogram,Chandpur,Jatiya Party (JaPa),Md. Amran Hossain Mia,-
Chandpur 2,Chattogram,Chandpur,Nagorik Oikya (NO),Md. Anamul Hoque,-
Chandpur 2,Chattogram,Chandpur,Bangladesh Liberal Democratic Party (LDP),Md. Billal Hosion,57473.0
