seat_name,party,candidate,votes
Chandpur 1,Bangladesh Jamaat-e-Islami (Jamaat),Abu Nasr Mohammad Mokbul Ahmed,70368
Chandpur 1,Bangladesh Islami Front,Mohammad Nasir Uddin,4371
Chandpur 1,Jatiya Party (JaPa),Habib Khan,652
Chandpur 1,Gono Forum (GF),Mohammad Azad Hossain,329
Chandpur 1,Gono Odhikar Parishad (GOP),Md. Enayet Hossain,217
Chandpur 2,Bangladesh Nationalist Party (BNP),Md. Jalal Uddin,172506
Chandpur 2,Liberal Democratic Party (LDP),Md. Billal Hossain,57473
Chandpur 2,Islami Andolan Bangladesh (IAB),Mansur,12307
Chandpur 2,Jatiya Party (JaPa),Md. Emran Hossain Mia,1328
Chandpur 2,Bangladesh Republican Party (BRP),Md. Fayzunnur,509
Chandpur 2,Gono Odhikar Parishad (GOP),Md. Golaf Hossain,315
Chandpur 2,Jatiya Party (JaPa),Nasima Nazneen Sarkar,283
Chandpur 2,Nagorik Oikya (NO),Md. Enamul Haque,143
Chandpur 3,Bangladesh Nationalist Party (BNP),Sheikh Farid Ahmed,165404
Chandpur 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahjahan Mia,100865
Chandpur 3,Islami Andolan Bangladesh (IAB),Md. Zainal Abedin Sheikh,14181
Chandpur 3,Bangladesh Islami Front,A. H. M. Ahsan Ullah,2274
Chandpur 3,Communist Party of Bangladesh (CPB),Md. Jahangir Hossain,676
Chandpur 3,Gono Forum (GF),Selim Akbar,307
Chandpur 3,Gono Odhikar Parishad (GOP),Md. Zakir Hossain,132
Chandpur 4,Independent Candidate (Independent),Md. Abdul Hannan,74175
Chandpur 4,Bangladesh Nationalist Party (BNP),Md. Harunur Rashid,69155
Chandpur 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Billal Hossain Miazhi,66692
Chandpur 4,Islami Andolan Bangladesh (IAB),Mokbul Hossain,5261
Chandpur 4,Bangladesh Islami Front,Md. Abdul Malek,509
Chandpur 4,Jatiya Party (JaPa),Mahmud Alam,277
Chandpur 4,Gono Forum (GF),Md. Munir Chowdhury,240
Chandpur 4,Independent Candidate (Independent),Zakir Hossain,184
Chandpur 5,Bangladesh Nationalist Party (BNP),Md. Mominul Haque,185404
Chandpur 5,Liberal Democratic Party (LDP),Md. Niamul Bashir,75660
Chandpur 5,Islamic Front Bangladesh (IFB),Syed Bahadur Shah Mujaddedi,13178
Chandpur 5,Islami Andolan Bangladesh (IAB),Mohammad Ali Patowary,6681
Chandpur 5,Jatiya Party (JaPa),Mirza Gias Uddin,1516
Chandpur 5,Independent Candidate (Independent),Md. Zakir Hossain Pradhania,268
Chandpur 5,Insaniyat Biplob Bangladesh,Md. Mahmud Hasan Nayan,256
Feni 1,Bangladesh Nationalist Party (BNP),Munshi Rafiqul Alam,119904
Feni 1,Bangladesh Jamaat-e-Islami (Jamaat),S. M. Kamal Uddin,85615
Feni 1,Islami Andolan Bangladesh (IAB),Kazi Golam Kibria,5323
Feni 1,Jatiya Party (JaPa),Motaher Hossain Chowdhury,940
Feni 1,Bangladesh Khelafat Andolon (BKA),Anwar Ullah Bhuiyan,310
Feni 1,Bangladesh Congress,Md. Firoz Uddin Chowdhury,215
Feni 1,Bangladesh Muslim League (BML),Mahbub Morshed Majumder,188
Feni 2,Bangladesh Nationalist Party (BNP),Zainal Abedin,131210
Feni 2,Amar Bangladesh Party (AB),Mohammad Mojibur Rahman Bhuiyan,78447
Feni 2,Islami Andolan Bangladesh (IAB),Mohammad Ekramul Haque Bhuiyan,1927
Feni 2,Bangladesh Khelafat Majlish (BKM),Md. Harunur Rashid Bhuiyan,820
Feni 2,Am Janata Party,Saiful Karim Majumder,801
Feni 2,Independent Candidate (Independent),Md. Ismail,703
Feni 2,Gono Odhikar Parishad (GOP),Md. Tarek-ul Islam Bhuiyan,409
Feni 2,Bangladesh Socialist Party (Marxist),Jasim Uddin,322
Feni 2,Bangladesh Khelafat Andolon (BKA),Mohammad Abul Hossain,304
Feni 2,Jatiya Samajtantrik Dal (JSD),Samsuddin Majumder,240
Feni 2,Insaniyat Biplob Bangladesh,Taherul Islam,239
Feni 3,Bangladesh Nationalist Party (BNP),Abdul Awwal Mintoo,157425
Feni 3,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Fakhruddin,108160
Feni 3,Islami Andolan Bangladesh (IAB),Md. Saif Uddin,6701
Feni 3,Jatiya Party (JaPa),Md. Abu Sufian,1427
Feni 3,Bangladesh Socialist Party (BASAD),Abdul Malek,731
Feni 3,Islamic Front Bangladesh (IFB),Md. Abu Nasir,531
Feni 3,Insaniyat Biplob Bangladesh,Md. Hasan Ahmed,327
Feni 3,Bangladesh Khelafat Andolon (BKA),Mohammad Khaleduzzaman Patwari,320
Noakhali 1,Bangladesh Nationalist Party (BNP),A. M. Mahbub Uddin,126833
Noakhali 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Saiful Ullah,98036
Noakhali 1,Islami Andolan Bangladesh (IAB),Jahirul Islam,19289
Noakhali 1,Jatiya Party (JaPa),Md. Nurul Amin,1075
Noakhali 1,Jatiya Samajtantrik Dal (JSD),Rehana Begum,482
Noakhali 1,Bangladesh Congress,Md. Mominul Islam,274
Noakhali 1,Insaniyat Biplob Bangladesh,Md. Mashirur Rahman,188
Noakhali 2,Bangladesh Nationalist Party (BNP),Zainul Abdin Faruk,83982
Noakhali 2,National Citizen Party (NCP),Sultan Mohammad Zakaria Majumder,67054
Noakhali 2,Independent Candidate (Independent),Kazi Mohammad Mofizur Rahman,44712
Noakhali 2,Islami Andolan Bangladesh (IAB),Khalilur Rahman,6217
Noakhali 2,Jatiya Party (JaPa),Md. Shahadat Hossain,557
