seat_name,party,candidate,votes
Chapainawabganj 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mizanur Rahman,171227
Chapainawabganj 2,Bangladesh Nationalist Party (BNP),Md. Aminul Islam,155119
Chapainawabganj 2,Jatiya Party (JaPa),Md. Khurshid Alam,8175
Chapainawabganj 2,Islami Andolan Bangladesh (IAB),Md. Ibrahim Khalil,1069
Chapainawabganj 2,Communist Party of Bangladesh (CPB),Md. Sadekul Islam,626
Chapainawabganj 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nurul Islam,189640
Chapainawabganj 3,Bangladesh Nationalist Party (BNP),Md. Harunur Rashid,127037
Chapainawabganj 3,Islami Andolan Bangladesh (IAB),Md. Monirul Islam,820
Chapainawabganj 3,Jatiya Samajtantrik Dal (JSD),Md. Fazlur Islam Khan,637
Chapainawabganj 3,Gono Odhikar Parishad (GOP),Md. Shafiqul Islam,361
Naogaon 1,Bangladesh Nationalist Party (BNP),Md. Mostafizur Rahman,173864
Naogaon 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahbubul Alam,153816
Naogaon 1,Independent Candidate (Independent),Md. Salek Chowdhury,18088
Naogaon 1,Islami Andolan Bangladesh (IAB),Md. A. Haque Shah,9058
Naogaon 1,Jatiya Party (JaPa),Md. Akbar Ali,4243
Naogaon 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Enamul Haque,141526
Naogaon 2,Bangladesh Nationalist Party (BNP),Md. Shamsuzzoha Khan,134533
Naogaon 2,Amar Bangladesh Party (AB),Md. Matibul Islam,2580
Naogaon 3,Bangladesh Nationalist Party (BNP),Md. Fazle Huda,166889
Naogaon 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahfuzur Rahman,119421
Naogaon 3,Independent Candidate (Independent),Parvez Arefin Siddiqui,17129
Naogaon 3,Jatiya Party (JaPa),Md. Masud Rana,4869
Naogaon 3,Islami Andolan Bangladesh (IAB),Nasir Bin Asgar,3643
Naogaon 3,Bangladesh Socialist Party (BASAD),Kalipada Sarkar,1233
Naogaon 3,Independent Candidate (Independent),Md. Saddam Hossain,823
Naogaon 3,Bangladesh Nationalist Front (BNF),Abdullah Al-Mamun Saikat,195
Naogaon 4,Bangladesh Nationalist Party (BNP),Ikramul Bari Tipu,133924
Naogaon 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdur Rakib,97585
Naogaon 4,Communist Party of Bangladesh (CPB),Dr. S. M. Fazlur Rahman,2313
Naogaon 4,Jatiya Party (JaPa),Md. Altaf Hossain,1327
Naogaon 4,Independent Candidate (Independent),Mosammat Arfana Begum,712
Naogaon 4,Islami Andolan Bangladesh (IAB),Sohrab Hossain,609
Naogaon 5,Bangladesh Nationalist Party (BNP),Md. Zahidul Islam Dhalu,129385
Naogaon 5,Bangladesh Jamaat-e-Islami (Jamaat),Abu Sadat Md. Sayem,43367
Naogaon 5,Islami Andolan Bangladesh (IAB),Md. Abdur Rahman,4101
Naogaon 5,Jatiya Party (JaPa),Md. Anwar Hossain,2176
Naogaon 5,Communist Party of Bangladesh (CPB),Shafiqul Islam,741
Naogaon 6,Bangladesh Nationalist Party (BNP),Sheikh Md. Rezaul Islam,108866
Naogaon 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Khabirul Islam,97629
Naogaon 6,Independent Candidate (Independent),Alamgir Kabir,19638
Naogaon 6,Islami Andolan Bangladesh (IAB),Md. Rafiqul Islam,1833
Naogaon 6,Bangladesh Republican Party (BRP),Atikur Rahman Ratan Molla,555
Rajshahi 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mujibur Rahman,171786
Rajshahi 1,Bangladesh Nationalist Party (BNP),Md. Sharif Uddin,169902
Rajshahi 1,Amar Bangladesh Party (AB),Md. Abdur Rahman,1100
Rajshahi 1,Independent Candidate (Independent),Md. Al-Saad,663
Rajshahi 1,Gono Odhikar Parishad (GOP),Mir Md. Shahjahan,407
Rajshahi 2,Bangladesh Nationalist Party (BNP),Md. Mizanur Rahman Minu,128546
Rajshahi 2,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Jahangir,100370
Rajshahi 2,Independent Candidate (Independent),Saleh Ahmed,801
Rajshahi 2,Amar Bangladesh Party (AB),Md. Saeed Noman,786
Rajshahi 2,Nagorik Oikya (NO),Mohammad Samsul Alam,552
Rajshahi 2,Bangladesh Labour Party,Md. Mezbaul Islam,387
Rajshahi 3,Bangladesh Nationalist Party (BNP),Mohammad Shafiqul Haque Milon,176318
Rajshahi 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abul Kalam Azad,137927
Rajshahi 3,Jatiya Party (JaPa),Md. Afzal Hossain,2390
Rajshahi 3,Independent Candidate (Independent),Mosammat Habiba Begum,1177
Rajshahi 3,Islami Andolan Bangladesh (IAB),Md. Fazlur Rahman,1154
Rajshahi 3,Am Janata Party,Md. Said Parvez,295
Rajshahi 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Bari Sardar,115226
Rajshahi 4,Bangladesh Nationalist Party (BNP),D. M. D. Ziaur Rahman,109461
Rajshahi 4,Jatiya Party (JaPa),Md. Fazlul Haque,1759
Rajshahi 4,Islami Andolan Bangladesh (IAB),Md. Tajul Islam Khan,670
Rajshahi 5,Bangladesh Nationalist Party (BNP),Professor Nazrul Islam,153425
Rajshahi 5,Bangladesh Jamaat-e-Islami (Jamaat),Manjur Rahman,73445
Rajshahi 5,Independent Candidate (Independent),Rezaul Karim,6432
Rajshahi 5,Independent Candidate (Independent),Md. Isfa Khairul Haque,2496
Rajshahi 5,Bangladesh Supreme Party (BSP),Md. Altaf Hossain Molla,938
Rajshahi 5,Islami Andolan Bangladesh (IAB),Md. Ruhul Amin,620
Rajshahi 5,Independent Candidate (Independent),Md. Raihan Kawsar,442
Rajshahi 6,Bangladesh Nationalist Party (BNP),Md. Abu Sayeed Chand,148672
Rajshahi 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nazmul Haque,92965
Rajshahi 6,Jatiya Party (JaPa),Md. Iqbal Hossain,2930
Rajshahi 6,Islami Andolan Bangladesh (IAB),Md. Abdus Salam Suruj,1628
Natore 1,Bangladesh Nationalist Party (BNP),Farzana Sharmin,102726
Natore 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abul Kalam Azad,90568
Natore 1,Independent Candidate (Independent),Md. Taiful Islam Tipu,73173
Natore 1,Islami Andolan Bangladesh (IAB),Md. Abdullahil Baki,1269
Natore 1,Jatiya Party (JaPa),Md. Sahed Ali Jinnah,552
Natore 1,Gono Odhikar Parishad (GOP),Md. Mehedi Hasan,298
Natore 1,Ganosanhati Andolan (GSA),Md. Sentu Ali,281
Natore 1,Revolutionary Workers Party of Bangladesh (RWPB),Md. Ansar Ali,276
Natore 1,Independent Candidate (Independent),Md. Moyazzem Hossain,115
Natore 1,Independent Candidate (Independent),Mohammad Yasir Arshad,80
Natore 2,Bangladesh Nationalist Party (BNP),M. Ruhul Quddus Talukder Dulu,162841
Natore 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Yunus Ali,130066
Natore 2,Islami Andolan Bangladesh (IAB),Mohammad Ali Siddiqui,2757
Natore 2,Jatiya Party (JaPa),Md. Rakib Uddin (Komol),2587
Natore 2,Independent Candidate (Independent),Dr. Md. Nurnabi Mridha,621
Natore 2,Ganosanhati Andolan (GSA),Tahamida Islam Tania,464
Natore 3,Bangladesh Nationalist Party (BNP),Md. Anwarul Islam,119768
Natore 3,Independent Candidate (Independent),Md. Daudar Mahmud,66492
Natore 3,National Citizen Party (NCP),S. M. Zargis Qadir,20707
Natore 3,Islami Andolan Bangladesh (IAB),Md. Khalilur Rahman,19105
Natore 3,Jatiya Party (JaPa),Md. Ashiq Iqbal,2119
Natore 3,Independent Candidate (Independent),Md. Delowar Hossain,372
Natore 4,Bangladesh Nationalist Party (BNP),Md. Abdul Aziz,170551
Natore 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Hakim,135386
Natore 4,Islami Andolan Bangladesh (IAB),Md. Emdadullah,3845
Natore 4,Jatiya Party (JaPa),M. Yusuf Ahmed,2799
Natore 4,Amar Bangladesh Party (AB),Md. Moksedul Momin,259
Sirajganj 1,Bangladesh Nationalist Party (BNP),Md. Selim Reza,116613
Sirajganj 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahinur Alam,108815
Sirajganj 1,Jatiya Party (JaPa),Md. Jahurul Islam,2234
Sirajganj 1,Gono Odhikar Parishad (GOP),Mosammat Mallika Khatun,1170
Sirajganj 1,Nagorik Oikya (NO),Md. Nazmus Sakib,321
Sirajganj 1,Independent Candidate (Independent),Md. Abdus Sabur,263
Sirajganj 2,Bangladesh Nationalist Party (BNP),Iqbal Hasan Mahmud,177578
Sirajganj 2,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Zahidul Islam,138797
Sirajganj 2,Islami Andolan Bangladesh (IAB),Md. Mohibullah,2167
Sirajganj 2,Bangladesh Socialist Party (BASAD),S. M. Abdullah Al Mamun,864
Sirajganj 2,Communist Party of Bangladesh (CPB),Md. Anwar Hossain,769
Sirajganj 2,Gono Odhikar Parishad (GOP),Mohammad Mahfuzur Rahman,410
Sirajganj 2,Janata Party,Md. Sohel Rana,181
Sirajganj 3,Bangladesh Nationalist Party (BNP),Md. Ainul Haque,174430
Sirajganj 3,Bangladesh Khelafat Majlish (BKM),Md. Abdur Rauf Sarkar,116802
Sirajganj 3,Jatiya Party (JaPa),Md. Fazlul Haque,1658
Sirajganj 3,Independent Candidate (Independent),Md. Ilias Reza Robin,1006
Sirajganj 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Rafiqul Islam Khan,161872
Sirajganj 4,Bangladesh Nationalist Party (BNP),M. Akbar Ali,161278
Sirajganj 4,Islami Andolan Bangladesh (IAB),Abdur Rahman,2216
Sirajganj 4,Jatiya Party (JaPa),Md. Hilton Pramanik,1213
Sirajganj 4,Communist Party of Bangladesh (CPB),Md. Abdul Hakim,695
Sirajganj 5,Bangladesh Nationalist Party (BNP),Md. Amirul Islam Khan,588084
Sirajganj 5,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ali Alam,47876
Sirajganj 5,Islami Andolan Bangladesh (IAB),Nurun Nabi,0
Sirajganj 5,Jatiya Party (JaPa),Md. Akbar Hossain,0
Sirajganj 5,Gono Odhikar Parishad (GOP),Md. Yusuf Ali,0
Sirajganj 5,Communist Party of Bangladesh (CPB),Md. Matiar Rahman,0
Sirajganj 6,Bangladesh Nationalist Party (BNP),M. A. Muhit,171508
Sirajganj 6,National Citizen Party (NCP),S. M. Saif Mostafiz,103884
Sirajganj 6,Islami Andolan Bangladesh (IAB),Misbah Uddin,2280
Sirajganj 6,Bangladesh Islami Front,Md. Mosharraf Hossain Shahidul,1133
Sirajganj 6,Jatiya Party (JaPa),Md. Moktar Hossain,1098
Sirajganj 6,Jatiya Samajtantrik Dal (JSD),Ilora Khatun,890
Sirajganj 6,Am Janata Party,Md. Asadul Haque,653
Sirajganj 6,Independent Candidate (Independent),Md. Humayun Kabir,441
Sirajganj 6,Bangladesh Socialist Party (BASAD),Md. Anwar Hossain,400
Sirajganj 6,Amar Bangladesh Party (AB),Abu Jafar Md. Anwarus Sadat,271
Sirajganj 6,Independent Candidate (Independent),Md. Wasek Iqbal Khan Majlish,252
Pabna 1,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Najibur Rahman,129974
Pabna 1,Bangladesh Nationalist Party (BNP),Md. Shamsur Rahman,104245
Pabna 1,Islami Andolan Bangladesh (IAB),Md. Abdul Gani,1114
Pabna 1,Independent Candidate (Independent),Md. Tajul Islam,1033
Pabna 2,Bangladesh Nationalist Party (BNP),A. K. M. Selim Reza Habib,215406
Pabna 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Hesab Uddin,77242
Pabna 2,Islami Andolan Bangladesh (IAB),Md. Afzal Hossain Khan Kashemi,5884
Pabna 2,Jatiya Party (JaPa),Md. Mehedi Hasan Rubel,2260
Pabna 2,Gono Forum (GF),Sheikh Nasir Uddin,333
Pabna 3,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Ali Asgar,147475
Pabna 3,Bangladesh Nationalist Party (BNP),Md. Hasan Zafir Tuhin,144206
Pabna 3,Independent Candidate (Independent),K. M. Anwarul Islam,38027
Pabna 3,Islami Andolan Bangladesh (IAB),Md. Abdul Khalek,1769
Pabna 3,Bangladesh Supreme Party (BSP),Md. Mahbubur Rahman Joy Chowdhury,1420
Pabna 3,Jatiya Party (JaPa),Mir Nadim Mohammad Dablu,1072
Pabna 3,Gono Odhikar Parishad (GOP),Md. Hasanul Islam,986
Pabna 3,Gono Forum (GF),Sardar Asha Parvez,173
Pabna 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abu Taleb Mondol,137645
Pabna 4,Bangladesh Nationalist Party (BNP),Md. Habibur Rahman (Habib),133878
Pabna 4,Independent Candidate (Independent),Md. Zakaria Pintu,27970
Pabna 4,Islami Andolan Bangladesh (IAB),Md. Anwar Shah,2688
Pabna 4,Jatiya Party (JaPa),Md. Saiful Azad Mallik,955
Pabna 4,Communist Party of Bangladesh (CPB),Md. Sohag Hossain,459
Pabna 4,Nagorik Oikya (NO),Shahnaz Haque,182
Pabna 5,Bangladesh Nationalist Party (BNP),Md. Shamsur Rahman Shimul Biswas,181925
Pabna 5,Bangladesh Jamaat-e-Islami (Jamaat),Md. Iqbal Hossain,164994
Pabna 5,Islami Andolan Bangladesh (IAB),Md. Nazmul Hossain,4268
Pabna 5,Amar Bangladesh Party (AB),Md. Abdul Majid Mollah,442
Panchagarh 1,Bangladesh Nationalist Party (BNP),Mohammad Nawshad Zamir,176169
Panchagarh 1,National Citizen Party (NCP),Md. Sarjis Alam,168049
Panchagarh 1,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Nazmul Haque Prodhan,3009
Panchagarh 1,Bangladesh Supreme Party (BSP),Md. Abdul Wadud (Badsha),1018
Panchagarh 1,Gono Odhikar Parishad (GOP),Md. Mahafuzar Rahman,836
Panchagarh 1,Bangladesh Labour Party,Md. Ferdous Alam,683
Panchagarh 1,Bangladesh Nationalist Front (BNF),Md. Sirajul Islam,261
Panchagarh 2,Bangladesh Nationalist Party (BNP),Farhad Hossain Azad,174650
Panchagarh 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Safiul Alam,128862
Panchagarh 2,Islami Andolan Bangladesh (IAB),Md. Kamrul Hasan Prodhan,4391
Panchagarh 2,Jatiya Party (JaPa),Md. Lutfar Rahman Ripon,2152
Panchagarh 2,Independent Candidate (Independent),Mahmud Hossain Suman,1854
Panchagarh 2,Bangladesh Supreme Party (BSP),Md. Delwar Hossain,1352
Panchagarh 2,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Md. Emran Al Amin,953
Panchagarh 2,Communist Party of Bangladesh (CPB),Md. Ashraful Alam,935
Thakurgaon 1,Bangladesh Nationalist Party (BNP),Mirza Fakhrul Islam Alamgir,238836
Thakurgaon 1,Bangladesh Jamaat-e-Islami (Jamaat),Delwar Hossain,141017
Thakurgaon 1,Islami Andolan Bangladesh (IAB),Md. Khademul Islam,3951
Thakurgaon 2,Bangladesh Nationalist Party (BNP),Md. Abdus Salam,121017
Thakurgaon 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Hakim,115707
Thakurgaon 2,Jatiya Party (JaPa),Nurun Nahar Begum,2876
Thakurgaon 2,Gono Odhikar Parishad (GOP),Md. Faruk Hossain,1843
Thakurgaon 2,Amar Bangladesh Party (AB),Md. Nahid-Rana,451
Thakurgaon 2,Islami Andolan Bangladesh (IAB),Md. Rezaul Karim,437
Thakurgaon 2,Communist Party of Bangladesh (CPB),Sahabuddin Ahmed,380
Thakurgaon 3,Bangladesh Nationalist Party (BNP),Md. Zahidur Rahman,132797
Thakurgaon 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mizanur Rahman,91934
Thakurgaon 3,Jatiya Party (JaPa),Hafiz Uddin Ahmed,27133
Thakurgaon 3,Communist Party of Bangladesh (CPB),Prabhat Samir Shahjahan Alam,1548
Thakurgaon 3,Islami Andolan Bangladesh (IAB),Md. Al Amin,1295
Thakurgaon 3,Bangladesh Minority People’s Party (BMJP),Kamala Kanta Roy,680
Thakurgaon 3,Gono Odhikar Parishad (GOP),Md. Mamunur Rashid Mamun,552
Thakurgaon 3,Bangladesh Supreme Party (BSP),Md. Abul Kalam Azad,503
Thakurgaon 3,Independent Candidate (Independent),Mosammat Asha Moni,279
Thakurgaon 3,Bangladesh Muslim League (BML),S. M. Khalilur Rahman Sarkar,113
Dinajpur 1,Bangladesh Nationalist Party (BNP),Md. Manjurul Islam,179314
Dinajpur 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Matiur Rahman,117481
Dinajpur 1,Islami Andolan Bangladesh (IAB),Md. Chan Mia,3095
Dinajpur 1,Zaker Party (ZP),Raghunath Chandra Roy,2280
Dinajpur 1,Jatiya Party (JaPa),Md. Shahinur Islam,1530
Dinajpur 1,Gono Odhikar Parishad (GOP),Md. Rizwanul Islam,395
Dinajpur 2,Bangladesh Nationalist Party (BNP),Md. Sadik Riyaz,139622
Dinajpur 2,Bangladesh Jamaat-e-Islami (Jamaat),AKM Afzalul Anam,104887
Dinajpur 2,Independent Candidate (Independent),Md. ANM Bazlur Rashid,15618
Dinajpur 2,Jatiya Party (JaPa),Md. Zulfikar Hossain,4647
Dinajpur 2,Independent Candidate (Independent),Anwar Chowdhury Jibon,3857
Dinajpur 2,Islami Andolan Bangladesh (IAB),Md. Redwanul Karim Rabid,1067
Dinajpur 2,Bangladesh Khelafat Majlish (BKM),Zobayer Sayeed,1046
Dinajpur 2,Bangladesh Muslim League (BML),Md. Mokarram Hossain,461
Dinajpur 3,Bangladesh Nationalist Party (BNP),Syed Jahangir Alam,140608
Dinajpur 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mainul Alam,136239
Dinajpur 3,Jatiya Party (JaPa),Ahmed Shafi Rubel,3838
Dinajpur 3,Islami Andolan Bangladesh (IAB),Md. Khairuzzaman,1408
Dinajpur 3,Communist Party of Bangladesh (CPB),Amrit Kumar Roy,701
Dinajpur 3,Janata Party,Md. Rabiul Islam,337
Dinajpur 3,Bangladesh Socialist Party (BASAD),Kibria Hossain,283
Dinajpur 3,Bangladesh Muslim League (BML),Laila Tul Rima,214
Dinajpur 4,Bangladesh Nationalist Party (BNP),Md. Akhtaruzzaman Mia,166717
Dinajpur 4,Bangladesh Jamaat-e-Islami (Jamaat),Md. Aftab Uddin Molla,129056
Dinajpur 4,Jatiya Party (JaPa),Md. Nurul Amin Shah,3152
Dinajpur 4,Islami Andolan Bangladesh (IAB),Md. Anwar Hossain,1699
Dinajpur 5,Independent Candidate (Independent),AZM Rezwanul Haque,114484
Dinajpur 5,National Citizen Party (NCP),Md. Abdul Ahad,110195
Dinajpur 5,Bangladesh Nationalist Party (BNP),AKM Kamruzzaman,98544
Dinajpur 5,Independent Candidate (Independent),SM Zakaria Bacchu,4725
Dinajpur 5,Independent Candidate (Independent),Md. Hazrat Ali Belal,3027
Dinajpur 5,Jatiya Party (JaPa),Md. Kazi Abdul Gafur,1503
Dinajpur 5,Independent Candidate (Independent),Md. Rustam Ali,567
Dinajpur 6,Bangladesh Nationalist Party (BNP),Abu Zafar Md. Zahid Hossain,205118
Dinajpur 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anwarul Islam,190703
Dinajpur 6,Jatiya Party (JaPa),Md. Rezaul Haque,2689
Dinajpur 6,Islami Andolan Bangladesh (IAB),Md. Nur Alam Siddique,1659
Dinajpur 6,Bangladesh Socialist Party (BASAD),Md. Abdul Hakim,449
Dinajpur 6,Independent Candidate (Independent),Md. Abdullah,418
Dinajpur 6,Independent Candidate (Independent),Md. Shahnewaz Firoz Shuvo Shah,152
Nilphamari 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdus Sattar,150824
Nilphamari 1,Jamiat Ulema-e-Islam Bangladesh,Maulana Md. Manjurul Islam,119059
Nilphamari 1,Jatiya Party (JaPa),Md. Taslim Uddin,12276
Nilphamari 1,Jatiya Party (JaPa),Md. Makhdum Azam Mashrafi,4501
Nilphamari 1,Bangladesh National Awami Party (Bangladesh NAP),Jebel Rahman Gani,4477
Nilphamari 1,Islami Andolan Bangladesh (IAB),Md. Abdul Jalil,1871
Nilphamari 1,Bangladesh Socialist Party (Marxist),Md. Rafiqul Islam,312
Nilphamari 1,Bangladesh Nationalist Front (BNF),Md. Sirajul Islam,210
Nilphamari 2,Bangladesh Jamaat-e-Islami (Jamaat),Al-Faruk Abdul Latif,146430
Nilphamari 2,Bangladesh Nationalist Party (BNP),Shaharin Islam,135418
Nilphamari 2,Islami Andolan Bangladesh (IAB),Hasibul Islam,3260
Nilphamari 2,Khelafat Majlis,Md. Sarwarul Alam,351
Nilphamari 2,Independent Candidate (Independent),Md. Minhajul Islam Minhaj,307
Nilphamari 2,Bangladesh Nationalist Front (BNF),Md. Sirajul Islam,193
Nilphamari 3,Bangladesh Jamaat-e-Islami (Jamaat),Obaidullah Salafi,109686
Nilphamari 3,Bangladesh Nationalist Party (BNP),Alhaj Syed Ali,89807
Nilphamari 3,Jatiya Party (JaPa),Md. Rohan Chowdhury,3391
Nilphamari 3,Islami Andolan Bangladesh (IAB),Md. Amzad Hossain (Sarkar),990
Nilphamari 4,Bangladesh Jamaat-e-Islami (Jamaat),Abdul Muntakim,126222
Nilphamari 4,Bangladesh Nationalist Party (BNP),Md. Abdul Gafur Sarkar,82086
Nilphamari 4,Jatiya Party (JaPa),Md. Siddiqul Alam,67557
Nilphamari 4,Islami Andolan Bangladesh (IAB),Md. Shahidul Islam,8335
Nilphamari 4,Independent Candidate (Independent),Md. Riyad Arfan Sarkar,3826
Nilphamari 4,Independent Candidate (Independent),Zobaidur Rahman (Hira),1008
Nilphamari 4,Bangladesh Socialist Party (Marxist),Md. Maidul Islam,630
Nilphamari 4,Independent Candidate (Independent),S. M. Mamunur Rashid,436
Nilphamari 4,Bangladesh Jatiya Party (BJP),Mirza Md. Shawkat Akbar (Rowshan),97
Lalmonirhat 1,Bangladesh Nationalist Party (BNP),Md. Hasan Rajib Pradhan,138686
Lalmonirhat 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anwarul Islam Raju,129572
Lalmonirhat 1,Independent Candidate (Independent),Shihab Ahmed,7959
Lalmonirhat 1,Jatiya Party (JaPa),Md. Moshiur Rahman Ranga,5158
Lalmonirhat 1,Islami Andolan Bangladesh (IAB),Muhammad Fazlul Karim Shaharia,2242
Lalmonirhat 1,Independent Candidate (Independent),Md. Rezaul Karim Sarkar,804
Lalmonirhat 1,Bangladesh Jatiya Samajtantrik Dal (Bangladesh JaSad),Habib Md. Faruk,226
Lalmonirhat 1,Independent Candidate (Independent),Abu Sama Md. Redwanul Haque,191
Lalmonirhat 1,Bangladesh Labour Party,Md. Shubho Ahmed,143
Lalmonirhat 2,Bangladesh Nationalist Party (BNP),Md. Rokon Uddin Babul,123343
Lalmonirhat 2,Bangladesh Jamaat-e-Islami (Jamaat),Md. Firoz Haider,116236
Lalmonirhat 2,Communist Party of Bangladesh (CPB),Nimai Chandra Roy,0
Lalmonirhat 2,Jatiya Party (JaPa),Md. Elahan Uddin,0
Lalmonirhat 2,Independent Candidate (Independent),Md. Momtaz Ali,0
Lalmonirhat 2,Islami Andolan Bangladesh (IAB),Md. Mahfuzur Rahman,0
Lalmonirhat 2,Janata Party,Md. Shamim Kamal,0
Lalmonirhat 3,Bangladesh Nationalist Party (BNP),Asadul Habib Dulu,138691
Lalmonirhat 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abu Taher,56244
Lalmonirhat 3,Islami Andolan Bangladesh (IAB),Md. Aminul Islam,3283
Lalmonirhat 3,Jatiya Party (JaPa),Md. Zahid Hasan,2150
Lalmonirhat 3,Communist Party of Bangladesh (CPB),Madhu Sudan Roy,861
Lalmonirhat 3,Ganosanhati Andolan (GSA),Dipak Kumar Roy,427
Rangpur 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Raihan Siraji,145088
Rangpur 1,Bangladesh Nationalist Party (BNP),Md. Mokarram Hossain Sujan,69407
Rangpur 1,Bangladesh Socialist Party (Marxist),Ahsanul Arefin,0
Rangpur 1,Islami Andolan Bangladesh (IAB),A. T. M. Golam Mostafa,0
Rangpur 1,Islamic Front Bangladesh (IFB),Md. Anas,0
Rangpur 1,Jatiya Party (JaPa),Md. Manjum Ali,0
Rangpur 2,Bangladesh Jamaat-e-Islami (Jamaat),A. T. M. Azharul Islam,139680
Rangpur 2,Bangladesh Nationalist Party (BNP),Mohammad Ali Sarkar,79910
Rangpur 2,Jatiya Party (JaPa),Anisul Islam Mondol,17487
Rangpur 2,Jatiya Samajtantrik Dal (JSD),Md. Azizur Rahman,0
Rangpur 2,Islami Andolan Bangladesh (IAB),Md. Ashraf Ali,0
Rangpur 3,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mahbubur Rahman (Belal),157403
Rangpur 3,Bangladesh Nationalist Party (BNP),Md. Samsuzzaman Samu,74171
Rangpur 3,Jatiya Party (JaPa),Golam Mohammad Kader,37933
Rangpur 3,Bangladesh Socialist Party (Marxist),Md. Anowar Hossain Babul,0
Rangpur 3,Bangladesh Socialist Party (BASAD),Md. Abdul Quddus,0
Rangpur 3,Islami Andolan Bangladesh (IAB),Md. Amiruzzaman,0
Rangpur 3,Independent Candidate (Independent),Mosammat Anwara Islam Rani,0
Rangpur 3,Independent Candidate (Independent),Rita Rahman,0
Rangpur 4,National Citizen Party (NCP),Akhtar Hossain,147947
Rangpur 4,Bangladesh Nationalist Party (BNP),Mohammad Emdadul Haque Bhorosha,139616
Rangpur 4,Jatiya Party (JaPa),Abu Naser Shah Md. Mahbubar Rahman,499
Rangpur 4,Bangladesh Khelafat Majlish (BKM),Abu Sahma,0
Rangpur 4,Bangladesh Socialist Party (Marxist),Pragati Barman Toma,0
Rangpur 4,Islami Andolan Bangladesh (IAB),Md. Zahid Hossain,0
Rangpur 4,Independent Candidate (Independent),Md. Shah Alam Basar,0
Rangpur 5,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Rabbani,175208
Rangpur 5,Bangladesh Nationalist Party (BNP),Md. Golam Rabbani,114141
Rangpur 5,Jatiya Party (JaPa),S. M. Fakhr Uz Zaman,15115
Rangpur 5,Independent Candidate (Independent),Khandaker Mukit Al Mahmud,0
Rangpur 5,Communist Party of Bangladesh (CPB),Md. Abu Helal,0
Rangpur 5,Amar Bangladesh Party (AB),Md. Abdul Baset,0
Rangpur 5,Islami Andolan Bangladesh (IAB),Md. Golzar Hossain,0
Rangpur 5,Nagorik Oikya (NO),Mofakkharul Islam Nawab,0
Rangpur 5,Bangladesh Socialist Party (Marxist),Md. Babul Akter,0
Rangpur 5,Bangladesh Congress,Md. Mahbubur Rahman,0
Rangpur 6,Bangladesh Jamaat-e-Islami (Jamaat),Md. Nurul Amin,118160
Rangpur 6,Bangladesh Nationalist Party (BNP),Md. Saiful Islam,116646
Rangpur 6,Independent Candidate (Independent),Abu Zafar Md. Zahid,0
Rangpur 6,Amar Bangladesh Party (AB),Md. Sadekul Islam,0
Rangpur 6,Jatiya Party (JaPa),Md. Nur Alam Mia,0
Rangpur 6,Islami Andolan Bangladesh (IAB),Sultan Mahmud,0
Kurigram 1,Bangladesh Jamaat-e-Islami (Jamaat),Md. Anwarul Islam,134648
Kurigram 1,Bangladesh Nationalist Party (BNP),Saifur Rahman Rana,117356
Kurigram 1,Islami Andolan Bangladesh (IAB),Md. Harisul Bari,3377
Kurigram 1,Jatiya Party (JaPa),A. K. M. Mostafizur Rahman,2689
