seat,party,ec_votes,our_votes,diff,diff_pct
Cumilla 11,Bangladesh Congress,194,194,0,0.0
Cumilla 11,Bangladesh Jamaat-e-Islami,133308,133308,0,0.0
Cumilla 11,Bangladesh Nationalist Party - BNP,76638,76638,0,0.0
Cumilla 11,Bangladesh Shanskritik Muktijot (Muktijot),186,186,0,0.0
Cumilla 11,Gonofront,98,98,0,0.0
Cumilla 11,Islamic Andolan Bangladesh,2766,2766,0,0.0
Cumilla 11,Jatiya Party,704,704,0,0.0
Cumilla 2,Bangladesh Islami Front,0,767,767,0
Cumilla 2,Bangladesh Jamaat-e-Islami,50136,53384,3248,6.5
Cumilla 2,Bangladesh Nationalist Party - BNP,76268,77037,769,1.0
Cumilla 2,Independent,62385,63045,660,1.1
Cumilla 2,Islamic Andolan Bangladesh,6468,6611,143,2.2
Cumilla 2,Islamic Front Bangladesh,760,0,-760,-100.0
Cumilla 2,Jatiya Party,559,570,11,2.0
Cumilla 3,Amjanatar Dol,243,244,1,0.4
Cumilla 3,Bangladesh Congress,713,717,4,0.6
Cumilla 3,Bangladesh Jamaat-e-Islami,104906,109599,4693,4.5
Cumilla 3,Bangladesh Nationalist Party - BNP,157800,159291,1491,0.9
Cumilla 3,Bangladesh Republican Party - BRP,111,111,0,0.0
Cumilla 3,Gonodhikar Parishad - GOP,218,633,415,190.4
