seat,ec_id,ec_valid,our_tvc,our_known,tvc_diff,known_diff,ec_ncand,our_ncand,ec_winner_party,ec_winner_votes,our_winner,our_winner_votes,winner_vote_diff
Gazipur 4,197,195949,199554,199554,3605,3605,8,8,Bangladesh Jamaat-e-Islami,99271,Salah Uddin,101779,2508
Gazipur 5,198,223111,225552,225552,2441,2441,7,7,Bangladesh Nationalist Party - BNP,133063,A. K. M. Fazlul Haque Milon,133869,806
Narsingdi 1,199,270494,270720,273139,226,2645,8,8,Bangladesh Nationalist Party - BNP,160676,Khairul Kabir Khokon,161405,729
Narsingdi 2,200,168968,170427,170427,1459,1459,6,6,Bangladesh Nationalist Party - BNP,92352,Dr. Abdul Moin Khan,92739,387
Narsingdi 3,201,165303,167817,167817,2514,2514,8,8,Bangladesh Nationalist Party - BNP,81415,Manzoor Elahi,82061,646
Narsingdi 4,202,250062,254035,254035,3973,3973,9,9,Bangladesh Nationalist Party - BNP,161912,Sardar Md. Sakhawat Hossain,163392,1480
Narsingdi 5,203,243450,247335,247335,3885,3885,10,10,Bangladesh Nationalist Party - BNP,136602,Md. Ashraf Uddin,137690,1088
Faridpur 1,211,315975,318898,319625,2923,3650,8,9,Bangladesh Jamaat-e-Islami,152610,Md. Ilias Mollah,154772,2162
Faridpur 2,212,212735,214299,214299,1564,1564,6,6,Bangladesh Nationalist Party - BNP,120909,Shama Obayed Islam,121694,785
Faridpur 3,213,276702,279153,279153,2451,2451,6,6,Bangladesh Nationalist Party - BNP,147846,Nayab Yusuf Ahmed,148545,699
Faridpur 4,214,271353,274992,274996,3639,3643,8,8,Bangladesh Nationalist Party - BNP,126532,Md. Shahidul Islam,127443,911
Gopalganj 1,215,189577,224434,224434,34857,34857,9,9,Bangladesh Nationalist Party - BNP,68867,Md. Selimuzzaman Mollya,69462,595
Gopalganj 2,216,146438,147991,147991,1553,1553,13,13,Bangladesh Nationalist Party - BNP,39617,K. M. Babar,40048,431
Gopalganj 3,217,130906,132465,132465,1559,1559,8,8,Bangladesh Nationalist Party - BNP,60166,S. M. Zilany,60991,825
Madaripur 3,220,192836,196762,196762,3926,3926,5,5,Bangladesh Nationalist Party - BNP,95174,Anishur Rahman,96188,1014
Sunamganj 1,224,253366,255924,255924,2558,2558,3,3,Bangladesh Nationalist Party - BNP,160515,Kamruzzaman Kamrul,161774,1259
Sunamganj 2,225,162929,163974,163974,1045,1045,3,3,Bangladesh Nationalist Party - BNP,99132,Md. Nashir Chowdhury,99522,390
Sunamganj 3,226,158389,159951,159951,1562,1562,7,7,Bangladesh Nationalist Party - BNP,96666,Mohammad Kaishar Ahmed,97313,647
Sunamganj 4,227,201528,203858,203858,2330,2330,5,5,Bangladesh Nationalist Party - BNP,97404,Nurul Islam,98092,688
Sunamganj 5,228,254643,258271,258271,3628,3628,5,5,Bangladesh Nationalist Party - BNP,150810,Kalim Uddin Ahmed,151915,1105
Sylhet 1,229,310328,312393,314620,2065,4292,8,8,Bangladesh Nationalist Party - BNP,174517,Khandaker Abdul Muktadir,176936,2419
Sylhet 2,230,157568,156591,156591,-977,-977,5,5,Bangladesh Nationalist Party - BNP,116697,Deleted by Tahsina Rushdie,117956,1259
