constituency_id,constituency_name,zilla_name,candidate_name,candidate_symbol,votes,total_centers,total_voters,valid_votes,rejected_votes,absent_voters
18,লালমনিরহাট-৩,লালমনিরহাট,মধু সুদন রায়,কাস্তে,861,94,305835,201051,3874,100910
18,লালমনিরহাট-৩,লালমনিরহাট,দীপক কুমার রায়,মাথাল,427,94,305835,201051,3874,100910
19,রংপুর-১,রংপুর,মোঃ রায়হান সিরাজী,দাঁড়িপাল্লা,145543,139,371968,220874,4962,146132
19,রংপুর-১,রংপুর,মোঃ মোকাররম হোসেন সুজন,ধানের শীষ,68631,139,371968,220874,4962,146132
19,রংপুর-১,রংপুর,এ টি এম গোলাম মোস্তফা,হাতপাখা,5179,139,371968,220874,4962,146132
19,রংপুর-১,রংপুর,মোঃ আনাস,চেয়ার,1087,139,371968,220874,4962,146132
19,রংপুর-১,রংপুর,আহসানুল আরেফিন,কাঁচি,434,139,371968,220874,4962,146132
20,রংপুর-২,রংপুর,এ টি এম আজহারুল ইসলাম,দাঁড়িপাল্লা,134187,137,377802,253874,5256,118672
20,রংপুর-২,রংপুর,মোহাম্মদ আলী সরকার,ধানের শীষ,79862,137,377802,253874,5256,118672
20,রংপুর-২,রংপুর,আনিছুল ইসলাম মন্ডল,লাঙ্গল,33681,137,377802,253874,5256,118672
20,রংপুর-২,রংপুর,মোঃ আশরাফ আলী,হাতপাখা,5830,137,377802,253874,5256,118672
20,রংপুর-২,রংপুর,মোঃ আজিজুর রহমান,তারা,314,137,377802,253874,5256,118672
21,রংপুর-৩,রংপুর,মোঃ মাহবুবুর রহমান (বেলাল),দাঁড়িপাল্লা,175827,169,502992,313919,6560,182513
21,রংপুর-৩,রংপুর,মোঃ সামসুজ্জামান সামু,ধানের শীষ,84578,169,502992,313919,6560,182513
21,রংপুর-৩,রংপুর,গোলাম মোহাম্মদ কাদের,লাঙ্গল,43385,169,502992,313919,6560,182513
21,রংপুর-৩,রংপুর,মোঃ আমিরুজ্জমান,হাতপাখা,8590,169,502992,313919,6560,182513
21,রংপুর-৩,রংপুর,মোঃ আব্দুল কুদ্দুছ,মই,484,169,502992,313919,6560,182513
21,রংপুর-৩,রংপুর,রিটা রহমান,সূর্যমুখী ফুল,441,169,502992,313919,6560,182513
21,রংপুর-৩,রংপুর,মোঃ আনোয়ার হোসেন  বাবলু,কাঁচি,413,169,502992,313919,6560,182513
21,রংপুর-৩,রংপুর,মোছাঃ আনোয়ারা ইসলাম রানী,হরিণ ,201,169,502992,313919,6560,182513
22,রংপুর-৪,রংপুর,আখতার হোসেন,শাপলা কলি,147947,163,505258,326770,7877,170611
22,রংপুর-৪,রংপুর,মোহাম্মদ এমদাদুল হক ভরসা,ধানের শীষ,139616,163,505258,326770,7877,170611
22,রংপুর-৪,রংপুর,আবু নাসের শাহ মোঃ মাহবুবার রহমান,লাঙ্গল,33397,163,505258,326770,7877,170611
22,রংপুর-৪,রংপুর,মোঃ জাহিদ হোসেন,হাতপাখা,4414,163,505258,326770,7877,170611
22,রংপুর-৪,রংপুর,উজ্জল চন্দ্র রায়,ডাব,540,163,505258,326770,7877,170611
22,রংপুর-৪,রংপুর,আবু সাহ্‌মা,রিক্সা,337,163,505258,326770,7877,170611
22,রংপুর-৪,রংপুর,প্রগতি বর্মন তমা,কাঁচি,230,163,505258,326770,7877,170611
22,রংপুর-৪,রংপুর,মোঃ জয়নুল আবেদিন,ঘোড়া,167,163,505258,326770,7877,170611
22,রংপুর-৪,রংপুর,মোঃ শাহ আলম বাসার,হরিণ ,122,163,505258,326770,7877,170611
23,রংপুর-৫,রংপুর,মোঃ গোলাম রব্বানী,দাঁড়িপাল্লা,174149,152,464741,308813,7878,148050
23,রংপুর-৫,রংপুর,মোঃ গোলাম রব্বানী,ধানের শীষ,114263,152,464741,308813,7878,148050
23,রংপুর-৫,রংপুর,এস এম ফখর উজ জামান,লাঙ্গল,16376,152,464741,308813,7878,148050
23,রংপুর-৫,রংপুর,মোঃ গোলজার হোসেন,হাতপাখা,2372,152,464741,308813,7878,148050
23,রংপুর-৫,রংপুর,মোঃ আবু হেলাল,কাস্তে,490,152,464741,308813,7878,148050
23,রংপুর-৫,রংপুর,মোঃ আব্দুল বাছেত,ঈগল,350,152,464741,308813,7878,148050
23,রংপুর-৫,রংপুর,মোঃ বাবুল আক্তার,কাঁচি,349,152,464741,308813,7878,148050
23,রংপুর-৫,রংপুর,খন্দকার মুকিত আল মাহমুদ,ফুটবল,251,152,464741,308813,7878,148050
23,রংপুর-৫,রংপুর,মোঃ মাহ্‌বুবুর রহমান,ডাব,129,152,464741,308813,7878,148050
23,রংপুর-৫,রংপুর,মোফাখখারুল ইসলাম নবাব,কেটলি,84,152,464741,308813,7878,148050
24,রংপুর-৬,রংপুর,মোঃ নুরুল আমীন,দাঁড়িপাল্লা,118890,113,352852,239898,5072,107882
24,রংপুর-৬,রংপুর,মোঃ সাইফুল ইসলাম,ধানের শীষ,116919,113,352852,239898,5072,107882
24,রংপুর-৬,রংপুর,সুলতান মাহমুদ,হাতপাখা,2074,113,352852,239898,5072,107882
24,রংপুর-৬,রংপুর,মোঃ নূর আলম মিয়া,লাঙ্গল,1264,113,352852,239898,5072,107882
24,রংপুর-৬,রংপুর,খন্দকার শাহিদুল ইসলাম,ফুটবল,227,113,352852,239898,5072,107882
24,রংপুর-৬,রংপুর,মোঃ ছাদেকুল ইসলাম,ঈগল,218,113,352852,239898,5072,107882
24,রংপুর-৬,রংপুর,আবু জাফর মোঃ জাহিদ,ঘোড়া,156,113,352852,239898,5072,107882
24,রংপুর-৬,রংপুর,তাকিয়া জাহান চৌধুরী,সূর্যমুখী ফুল,150,113,352852,239898,5072,107882
25,কুড়িগ্রাম-১,কুড়িগ্রাম,মোঃ আনোয়ারুল ইসলাম,দাঁড়িপাল্লা,139498,231,560266,353974,6518,199774
25,কুড়িগ্রাম-১,কুড়িগ্রাম,সাইফুর রহমান রানা,ধানের শীষ,122319,231,560266,353974,6518,199774
25,কুড়িগ্রাম-১,কুড়িগ্রাম,এ কে এম মোস্তাফিজুর রহমান,লাঙ্গল,50392,231,560266,353974,6518,199774
25,কুড়িগ্রাম-১,কুড়িগ্রাম,মোঃ হারিসুল বারী,হাতপাখা,38670,231,560266,353974,6518,199774
25,কুড়িগ্রাম-১,কুড়িগ্রাম,মোঃ আব্দুল হাই,গোলাপ ফুল,2869,231,560266,353974,6518,199774
25,কুড়িগ্রাম-১,কুড়িগ্রাম,মোঃ বিন ইয়ামীন মোল্লা,ট্রাক,226,231,560266,353974,6518,199774
26,কুড়িগ্রাম-২,কুড়িগ্রাম,আতিকুর রহমান মোজাহিদ,শাপলা কলি,178869,205,600806,391038,9547,200221
26,কুড়িগ্রাম-২,কুড়িগ্রাম,মোঃ সোহেল হোসনাইন কায়কোবাদ,ধানের শীষ,170335,205,600806,391038,9547,200221
26,কুড়িগ্রাম-২,কুড়িগ্রাম,মোঃ নূর বখ্‌ত,হাতপাখা,24719,205,600806,391038,9547,200221
26,কুড়িগ্রাম-২,কুড়িগ্রাম,পনির উদ্দিন আহমেদ,লাঙ্গল,13736,205,600806,391038,9547,200221
26,কুড়িগ্রাম-২,কুড়িগ্রাম,মুহাম্মদ আব্দুস সালাম,কেটলি,1091,205,600806,391038,9547,200221
26,কুড়িগ্রাম-২,কুড়িগ্রাম,মোঃ নজরুল ইসলাম খান,ঈগল,900,205,600806,391038,9547,200221
26,কুড়িগ্রাম-২,কুড়িগ্রাম,নূর মোহাম্মদ,কাস্তে,656,205,600806,391038,9547,200221
26,কুড়িগ্রাম-২,কুড়িগ্রাম,মোঃ আতিকুর রহমান,কাঁঠাল,420,205,600806,391038,9547,200221
26,কুড়িগ্রাম-২,কুড়িগ্রাম,মোঃ সাফিউর রহমান,হাঁস,312,205,600806,391038,9547,200221
27,কুড়িগ্রাম-৩,কুড়িগ্রাম,মোঃ মাহবুবুল আলম,দাঁড়িপাল্লা,106933,140,366368,222236,4074,140058
27,কুড়িগ্রাম-৩,কুড়িগ্রাম,তাসভীর উল ইসলাম,ধানের শীষ,78982,140,366368,222236,4074,140058
27,কুড়িগ্রাম-৩,কুড়িগ্রাম,ডাঃ মোঃ আককাছ  আলী সরকার,হাতপাখা,33409,140,366368,222236,4074,140058
27,কুড়িগ্রাম-৩,কুড়িগ্রাম,আব্দুস সোবহান,লাঙ্গল,2078,140,366368,222236,4074,140058
27,কুড়িগ্রাম-৩,কুড়িগ্রাম,সরকার মোঃ নুরে এরশাদ সিদ্দিকী,ট্রাক,596,140,366368,222236,4074,140058
27,কুড়িগ্রাম-৩,কুড়িগ্রাম,মোঃ সাফিউর রহমান,হাঁস,238,140,366368,222236,4074,140058
28,কুড়িগ্রাম-৪,কুড়িগ্রাম,মোঃ মোস্তাফিজুর রহমান,দাঁড়িপাল্লা,106347,130,358967,219677,3618,135672
28,কুড়িগ্রাম-৪,কুড়িগ্রাম,মোঃ আজিজুর রহমান,ধানের শীষ,83762,130,358967,219677,3618,135672
28,কুড়িগ্রাম-৪,কুড়িগ্রাম,মোঃ রুকুনুজ্জামান,বালতি,20728,130,358967,219677,3618,135672
28,কুড়িগ্রাম-৪,কুড়িগ্রাম,মোঃ হাফিজুর  রহমান,হাতপাখা,6190,130,358967,219677,3618,135672
28,কুড়িগ্রাম-৪,কুড়িগ্রাম,কে এম ফজলুল মন্ডল,লাঙ্গল,2149,130,358967,219677,3618,135672
28,কুড়িগ্রাম-৪,কুড়িগ্রাম,রাজু আহমেদ,কাঁচি,311,130,358967,219677,3618,135672
28,কুড়িগ্রাম-৪,কুড়িগ্রাম,শেখ মোহামমদ আব্দুল খালেক,মই,190,130,358967,219677,3618,135672
29,গাইবান্ধা-১,গাইবান্ধা,মোঃ মাজেদুর রহমান,দাঁড়িপাল্লা,138945,123,415903,240833,6083,168987
29,গাইবান্ধা-১,গাইবান্ধা,খন্দকার জিয়াউল ইসলাম মোহাম্মদ আলী,ধানের শীষ,37851,123,415903,240833,6083,168987
29,গাইবান্ধা-১,গাইবান্ধা,শামীম হায়দার পাটোয়ারী,লাঙ্গল,33927,123,415903,240833,6083,168987
29,গাইবান্ধা-১,গাইবান্ধা,মোঃ মোস্তফা মহসিন,ঢেঁকি,27130,123,415903,240833,6083,168987
29,গাইবান্ধা-১,গাইবান্ধা,মোঃ রমজান আলী,হাতপাখা,2044,123,415903,240833,6083,168987
29,গাইবান্ধা-১,গাইবান্ধা,পরমানন্দ দাস,কাঁচি,394,123,415903,240833,6083,168987
29,গাইবান্ধা-১,গাইবান্ধা,মোছাঃ ছালমা আক্তার,কলস,368,123,415903,240833,6083,168987
29,গাইবান্ধা-১,গাইবান্ধা,মোঃ কওছর আজম হান্নু,প্রজাপতি,174,123,415903,240833,6083,168987
