seat_name,candidate,party,votes
Sherpur 3,Md. Mahmudul Haque Rubel,Bangladesh Nationalist Party (BNP),0
Sherpur 3,Mohammad Nuruzzaman,Bangladesh Jamaat-e-Islami (Jamaat),0
Mymensingh 1,Mohammed Salman Omar,Independent Candidate (Independent),108265
Mymensingh 1,Syed Imran Saleh,Bangladesh Nationalist Party (BNP),101926
Mymensingh 2,Muhammadullah,Khelafat Majlis,146202
Mymensingh 2,Motahar Hossain Talukder,Bangladesh Nationalist Party (BNP),118438
Mymensingh 3,M Iqbal Hossain,Bangladesh Nationalist Party (BNP),75320
Mymensingh 3,Ahmad Taibur Rahman,Independent Candidate (Independent),65995
Mymensingh 4,Md. Abu Wahab Akand Wahid,Bangladesh Nationalist Party (BNP),179668
Mymensingh 4,Mohammad Kamrul Ahsan,Bangladesh Jamaat-e-Islami (Jamaat),171880
Mymensingh 5,Mohammad Zakir Hossain,Bangladesh Nationalist Party (BNP),128896
Mymensingh 5,Md. Matiur Rahman Akand,Bangladesh Jamaat-e-Islami (Jamaat),102228
Mymensingh 6,Md. Kamrul Hasan,Bangladesh Jamaat-e-Islami (Jamaat),77325
Mymensingh 6,Akhtar Sultana,Unique - Akhtar Sultana,53331
Mymensingh 7,Dr. Md. Mahabubur Rahman,Bangladesh Nationalist Party (BNP),99049
Mymensingh 7,Md. Achaduzzaman,Bangladesh Jamaat-e-Islami (Jamaat),84851
Mymensingh 8,Lutfullahel Majed,Bangladesh Nationalist Party (BNP),108685
Mymensingh 8,Md. Aurangzeb Belal,Bangladesh Liberal Democratic Party (LDP),46515
Mymensingh 9,Yasser Khan Chowdhury,Bangladesh Nationalist Party (BNP),85761
Mymensingh 9,AKM Anwarul Islam,Bangladesh Development Party (BDP),71168
Mymensingh 10,Mohammad Aktaruzzaman,Bangladesh Nationalist Party (BNP),75585
Mymensingh 10,Abu Bakr Siddiqur Rahman,Independent Candidate (Independent),67013
