seat_name,candidate,party,votes,num_sources,sources,vote_details,comment
Bogura 6,Abu Numan Md. Mamunur Rashid,Islami Andolan Bangladesh (IAB),2508,3,"ds,dt,tbs",ds=0; dt=2508; tbs=2508,
Bogura 6,Dilruba,Bangladesh Samajtantrik Dal (Basad),795,3,"ds,dt,tbs",ds=0; dt=795; tbs=795,
Bogura 6,Abdullah Al Waki,Jatiya Samajtantrik Dal (JSD),276,3,"ds,dt,tbs",ds=0; dt=276; tbs=276,
Bogura 7,Morshed Milton,Bangladesh Nationalist Party (BNP),264212,4,"bss,ds,dt,tbs",bss=264212; ds=158196; dt=264212; tbs=264212,vote-mismatch: spread=40%
Bogura 7,Md. Golam Rabbani,Bangladesh Jamaat-e-Islami (Jamaat),116665,4,"bss,ds,dt,tbs",bss=116665; ds=0; dt=116665; tbs=116665,
Bogura 7,Md. Shafiqul Islam,Islami Andolan Bangladesh (IAB),2061,3,"ds,dt,tbs",ds=0; dt=2061; tbs=2061,
Bogura 7,Md. Ansar Ali,Bangladesh Muslim League (BML),536,3,"ds,dt,tbs",ds=0; dt=536; tbs=536,
Brahmanbaria 1,M. A. Hannan,Bangladesh Nationalist Party (BNP),68092,4,"bss,ds,dt,tbs",bss=68092; ds=68092; dt=68092; tbs=68092,
Brahmanbaria 1,A. K. M. Kamruzzaman,Independent Candidate (Independent),35220,3,"ds,dt,tbs",ds=35220; dt=35220; tbs=35220,
Brahmanbaria 1,A. K. M. Aminul Islam,Bangladesh Jamaat-e-Islami (Jamaat),24430,4,"bss,ds,dt,tbs",bss=35220; ds=24430; dt=24430; tbs=24430,vote-mismatch: spread=31%
Brahmanbaria 1,Iqbal Chowdhury,Independent Candidate (Independent),17666,3,"ds,dt,tbs",ds=17666; dt=17666; tbs=17666,
Brahmanbaria 1,Hussain Ahmed,Islami Andolan Bangladesh (IAB),907,3,"ds,dt,tbs",ds=907; dt=907; tbs=907,
Brahmanbaria 1,Md. Shah Alam,Jatiya Party (JaPa),265,3,"ds,dt,tbs",ds=265; dt=265; tbs=265,
Brahmanbaria 1,Md. Sharif Mridha,Insaniyat Biplob Bangladesh (IBB),139,3,"ds,dt,tbs",ds=139; dt=139; tbs=139,
